Time,RPM,MPH,Throttle,Load,Fuel Status
17:6:33.731220,727,0.0,14.1176470588,21.9607843137,0200
17:6:33.958668,723,0.0,14.1176470588,22.3529411765,0200
17:6:34.208694,721,0.0,14.1176470588,21.9607843137,0200
17:6:34.458666,731,0.0,14.1176470588,22.3529411765,0200
17:6:34.711237,731,0.0,14.1176470588,22.3529411765,0200
17:6:34.969942,732,0.0,14.1176470588,21.9607843137,0200
17:6:35.198714,731,0.0,14.1176470588,21.9607843137,0200
17:6:35.428704,732,0.0,14.1176470588,21.9607843137,0200
17:6:35.679945,724,0.0,14.1176470588,21.568627451,0200
17:6:35.908695,725,0.0,14.1176470588,21.9607843137,0200
17:6:36.162438,721,0.0,14.1176470588,21.568627451,0200
17:6:36.411289,724,0.0,14.1176470588,21.568627451,0200
17:6:36.669951,724,0.0,14.1176470588,21.568627451,0200
17:6:36.899932,723,0.0,14.1176470588,21.568627451,0200
17:6:37.128693,731,0.0,14.1176470588,21.9607843137,0200
17:6:37.382502,730,0.0,14.1176470588,21.9607843137,0200
17:6:37.633712,734,0.0,14.1176470588,21.568627451,0200
17:6:37.882530,730,0.0,14.1176470588,21.9607843137,0200
17:6:38.83706,732,0.0,14.1176470588,21.9607843137,0200
17:6:38.364962,733,0.0,14.1176470588,22.3529411765,0200
17:6:38.624994,725,0.0,14.1176470588,21.9607843137,0200
17:6:38.882495,723,0.0,14.1176470588,21.9607843137,0200
17:6:39.131236,719,0.0,14.1176470588,21.9607843137,0200
17:6:39.381204,719,0.0,14.1176470588,21.9607843137,0200
17:6:39.606179,719,0.0,14.1176470588,21.568627451,0200
17:6:39.860003,722,0.0,14.1176470588,21.9607843137,0200
17:6:40.122458,723,0.0,14.1176470588,21.9607843137,0200
17:6:40.352455,726,0.0,14.1176470588,21.568627451,0200
17:6:40.638711,724,0.0,14.1176470588,21.9607843137,0200
17:6:40.888715,727,0.0,14.1176470588,21.9607843137,0200
17:6:41.141235,732,0.0,14.1176470588,21.9607843137,0200
17:6:41.394967,734,0.0,14.1176470588,21.9607843137,0200
17:6:41.645071,735,0.0,14.1176470588,22.3529411765,0200
17:6:41.892488,738,0.0,14.1176470588,21.9607843137,0200
17:6:42.144990,728,0.0,14.1176470588,21.9607843137,0200
17:6:42.391255,729,0.0,14.1176470588,21.568627451,0200
17:6:42.650032,720,0.0,14.1176470588,21.568627451,0200
17:6:42.880019,724,0.0,14.1176470588,21.568627451,0200
17:6:43.131217,721,0.0,14.1176470588,21.568627451,0200
17:6:43.362622,724,0.0,14.1176470588,21.9607843137,0200
17:6:43.592491,722,0.0,14.1176470588,21.9607843137,0200
17:6:43.848771,728,0.0,14.1176470588,21.568627451,0200
17:6:44.99988,729,0.0,14.1176470588,21.9607843137,0200
17:6:44.329985,729,0.0,14.1176470588,21.9607843137,0200
17:6:44.580033,728,0.0,14.1176470588,21.9607843137,0200
17:6:44.779999,733,0.0,14.1176470588,21.9607843137,0200
17:6:45.13777,735,0.0,14.1176470588,21.9607843137,0200
17:6:45.262527,730,0.0,14.1176470588,21.9607843137,0200
17:6:45.489993,727,0.0,14.1176470588,21.9607843137,0200
17:6:45.721301,727,0.0,14.1176470588,21.568627451,0200
17:6:45.950017,723,0.0,14.1176470588,21.9607843137,0200
17:6:46.179998,722,0.0,14.1176470588,21.9607843137,0200
17:6:46.381238,719,0.0,14.1176470588,22.3529411765,0200
17:6:46.630065,719,0.0,14.1176470588,22.3529411765,0200
17:6:46.881264,718,0.0,14.1176470588,22.3529411765,0200
17:6:47.113776,719,0.0,14.1176470588,21.9607843137,0200
17:6:47.361301,731,0.0,14.1176470588,21.9607843137,0200
17:6:47.622527,727,0.0,14.1176470588,22.3529411765,0200
17:6:47.876279,730,0.0,14.1176470588,23.137254902,0200
17:6:48.110042,727,0.0,14.1176470588,23.137254902,0200
17:6:48.360019,729,0.0,14.1176470588,23.137254902,0200
17:6:48.645183,735,0.0,14.1176470588,21.9607843137,0200
17:6:48.920050,735,0.0,14.1176470588,21.568627451,0200
17:6:49.170110,729,0.0,14.1176470588,21.568627451,0200
17:6:49.425027,728,0.0,14.1176470588,21.1764705882,0200
17:6:49.680080,730,0.0,14.1176470588,21.1764705882,0200
17:6:49.932567,729,0.0,14.1176470588,21.1764705882,0200
17:6:50.175062,724,0.0,14.1176470588,21.568627451,0200
17:6:50.423760,725,0.0,14.1176470588,21.568627451,0200
17:6:50.651306,726,0.0,14.1176470588,21.9607843137,0200
17:6:50.882579,720,0.0,14.1176470588,21.568627451,0200
17:6:51.132715,721,0.0,14.1176470588,21.568627451,0200
17:6:51.358808,719,0.0,14.1176470588,21.9607843137,0200
17:6:51.625070,729,0.0,14.1176470588,22.3529411765,0200
17:6:51.881308,722,0.0,14.1176470588,22.3529411765,0200
17:6:52.132559,730,0.0,14.1176470588,22.3529411765,0200
17:6:52.363815,733,0.0,14.1176470588,22.3529411765,0200
17:6:52.652553,730,0.0,14.1176470588,21.9607843137,0200
17:6:52.893833,724,0.0,14.1176470588,22.3529411765,0200
17:6:53.172603,729,0.0,14.1176470588,21.9607843137,0200
17:6:53.422582,732,0.0,14.1176470588,21.9607843137,0200
17:6:53.646395,733,0.0,14.1176470588,21.9607843137,0200
17:6:53.901326,723,0.0,14.1176470588,21.9607843137,0200
17:6:54.180071,720,0.0,14.1176470588,22.3529411765,0200
17:6:54.457549,724,0.0,14.1176470588,22.3529411765,0200
17:6:54.711358,725,0.0,14.1176470588,21.9607843137,0200
17:6:54.962682,723,0.0,14.1176470588,22.3529411765,0200
17:6:55.187584,721,0.0,14.1176470588,22.3529411765,0200
17:6:55.453834,723,0.0,14.1176470588,22.3529411765,0200
17:6:55.681412,724,0.0,14.1176470588,22.3529411765,0200
17:6:55.912585,724,0.0,14.1176470588,21.9607843137,0200
17:6:56.165080,727,0.0,14.1176470588,21.9607843137,0200
17:6:56.412582,730,0.0,14.1176470588,21.9607843137,0200
17:6:56.681422,728,0.0,14.1176470588,21.9607843137,0200
17:6:56.936354,730,0.0,14.1176470588,21.568627451,0200
17:6:57.190069,730,0.0,14.1176470588,21.9607843137,0200
17:6:57.412606,730,0.0,14.1176470588,21.568627451,0200
17:6:57.643885,723,0.0,14.1176470588,21.9607843137,0200
17:6:57.895183,724,0.0,14.1176470588,21.9607843137,0200
17:6:58.152598,728,0.0,14.1176470588,21.9607843137,0200
17:6:58.382596,729,0.0,14.1176470588,21.9607843137,0200
17:6:58.603829,728,0.0,14.1176470588,21.9607843137,0200
17:6:58.831339,726,0.0,14.1176470588,21.9607843137,0200
17:6:59.62633,725,0.0,14.1176470588,21.9607843137,0200
17:6:59.341357,723,0.0,14.1176470588,21.9607843137,0200
17:6:59.595149,722,0.0,14.1176470588,21.9607843137,0200
17:6:59.877618,736,0.0,14.1176470588,21.9607843137,0200
17:7:0.131399,731,0.0,14.1176470588,21.9607843137,0200
17:7:0.380210,733,0.0,14.1176470588,21.9607843137,0200
17:7:0.631373,730,0.0,14.1176470588,21.9607843137,0200
17:7:0.883874,726,0.0,14.1176470588,21.9607843137,0200
17:7:1.135164,730,0.0,14.1176470588,21.9607843137,0200
17:7:1.393883,727,0.0,14.1176470588,21.9607843137,0200
17:7:1.660468,721,0.0,14.1176470588,21.9607843137,0200
17:7:1.913853,724,0.0,14.1176470588,22.3529411765,0200
17:7:2.171373,719,0.0,14.1176470588,21.9607843137,0200
17:7:2.421393,719,0.0,14.1176470588,22.3529411765,0200
17:7:2.650142,724,0.0,14.1176470588,22.3529411765,0200
17:7:2.891423,728,0.0,14.1176470588,22.3529411765,0200
17:7:3.148985,726,0.0,14.1176470588,22.3529411765,0200
17:7:3.400126,732,0.0,14.1176470588,21.9607843137,0200
17:7:3.657624,731,0.0,14.1176470588,21.9607843137,0200
17:7:3.911445,737,0.0,14.1176470588,22.3529411765,0200
17:7:4.162641,734,0.0,14.1176470588,21.9607843137,0200
17:7:4.412671,728,0.0,14.1176470588,21.9607843137,0200
17:7:4.632685,726,0.0,14.1176470588,21.568627451,0200
17:7:4.871397,721,0.0,14.1176470588,21.9607843137,0200
17:7:5.128927,721,0.0,14.1176470588,22.3529411765,0200
17:7:5.381376,720,0.0,14.1176470588,21.9607843137,0200
17:7:5.610160,717,0.0,14.1176470588,21.9607843137,0200
17:7:5.862649,723,0.0,14.1176470588,21.9607843137,0200
17:7:6.111413,725,0.0,14.1176470588,21.9607843137,0200
17:7:6.363886,729,0.0,14.1176470588,21.9607843137,0200
17:7:6.623910,730,0.0,14.1176470588,21.9607843137,0200
17:7:6.885146,730,0.0,14.1176470588,22.3529411765,0200
17:7:7.131396,732,0.0,14.1176470588,21.9607843137,0200
17:7:7.388907,730,0.0,14.1176470588,22.3529411765,0200
17:7:7.631404,728,0.0,14.1176470588,21.9607843137,0200
17:7:7.881415,729,0.0,14.1176470588,22.3529411765,0200
17:7:8.122684,724,0.0,14.1176470588,21.9607843137,0200
17:7:8.343948,719,0.0,14.1176470588,21.9607843137,0200
17:7:8.571410,719,0.0,14.1176470588,21.9607843137,0200
17:7:8.835154,722,0.0,14.1176470588,22.3529411765,0200
17:7:9.85187,724,0.0,14.1176470588,21.9607843137,0200
17:7:9.312805,725,0.0,14.1176470588,22.3529411765,0200
17:7:9.585193,726,0.0,14.1176470588,21.9607843137,0200
17:7:9.835169,731,0.0,14.1176470588,21.9607843137,0200
17:7:10.51499,732,0.0,14.1176470588,21.9607843137,0200
17:7:10.273927,735,0.0,14.1176470588,22.3529411765,0200
17:7:10.522696,733,0.0,14.1176470588,21.9607843137,0200
17:7:10.725184,731,0.0,14.1176470588,22.3529411765,0200
17:7:10.973962,726,0.0,14.1176470588,21.9607843137,0200
17:7:11.222741,719,0.0,14.1176470588,21.9607843137,0200
17:7:11.497687,717,0.0,14.1176470588,22.3529411765,0200
17:7:11.758970,723,0.0,14.1176470588,22.3529411765,0200
17:7:12.6449,724,0.0,14.1176470588,22.3529411765,0200
17:7:12.255267,723,0.0,14.1176470588,21.9607843137,0200
17:7:12.472713,725,0.0,14.1176470588,22.3529411765,0200
17:7:12.722699,729,0.0,14.1176470588,22.3529411765,0200
17:7:12.992728,733,0.0,14.1176470588,21.9607843137,0200
17:7:13.235267,735,0.0,14.1176470588,22.3529411765,0200
17:7:13.483999,730,0.0,14.1176470588,22.3529411765,0200
17:7:13.705244,729,0.0,14.1176470588,22.3529411765,0200
17:7:13.923951,729,0.0,14.1176470588,21.9607843137,0200
17:7:14.172699,727,0.0,14.1176470588,21.9607843137,0200
17:7:14.400229,729,0.0,14.1176470588,22.3529411765,0200
17:7:14.672752,725,0.0,14.1176470588,22.3529411765,0200
17:7:14.921464,718,0.0,14.1176470588,21.9607843137,0200
17:7:15.197729,718,0.0,14.1176470588,22.3529411765,0200
17:7:15.476483,715,0.0,14.1176470588,22.3529411765,0200
